distance,noise,mean_throughput,std_throughput
3,0.0001,1324459.8423947876,153395.33354291788
3,0.0002,1405518.435605265,6449.36271146151
3,0.0005,1345855.5279251698,17291.84797473634
3,0.001,1247075.295492659,1956.5635259871483
3,0.002,1093443.060498772,6034.661612524993
3,0.005,782770.2291877032,757.9371169591993
5,0.0001,248702.09942783127,2539.113007000132
5,0.0002,247624.9091448005,1018.3656593709504
5,0.0005,235970.47226279392,3370.1801753808413
5,0.001,218832.88886559755,419.00456282067705
5,0.002,199589.23193355507,2243.385379923509
5,0.005,140528.94675761796,2790.6346431688767
7,0.0001,124139.53890979692,3853.674396462781
7,0.0002,133028.73596718986,4301.629737568339
7,0.0005,133173.0090591891,5104.7457714431575
7,0.001,132968.70937264754,1374.5481206596348
7,0.002,75033.66636128584,1836.6938464112125
7,0.005,47634.49098691257,434.94213456181615
9,0.0001,57183.66015365869,521.2463160024084
9,0.0002,56390.25776268722,20.475014907132877
9,0.0005,52717.80340560452,285.4867734395134
9,0.001,48912.16846833343,1311.1058778429035
9,0.002,46829.90927841869,2786.659637882943
9,0.005,35424.49385530672,2862.2354638233487
11,0.0001,60592.7200149835,616.5253030113245
11,0.0002,59609.70843260883,201.928406129677
11,0.0005,55760.93534798017,220.63222598635832
11,0.001,49645.359458270366,112.41572805478444
11,0.002,39963.34910747958,169.41387865150278
11,0.005,22333.803819379147,43.81491047749084
